id,entry_date,platform,chart,track_title,artist,rank,did,drive_link,sort_order,created_at
33,2026-01-05,Apple,Apple Playlist | Vietnam Ơi,CHUỒN CHUỒN (bay thấp),Tùng,56,,,,2026-08-14T03:58:14.699229+00:00
34,2026-01-05,Apple,Apple Playlist | Vietnam Ơi,Nụ cười của một người lạ,TRANG,106,,,,2026-08-14T03:58:14.699229+00:00
36,2026-01-05,Apple,Apple Playlist | Vietnam Ơi,Đậu Thần,Dreamwork,157,,,,2026-08-14T03:58:14.699229+00:00
35,2026-01-05,Apple,Apple Playlist | Vietnam Ơi,ĐẶT TRÁI TIM LÊN BÀN,Tùng,148,,,,2026-08-14T03:58:14.699229+00:00
16,2026-01-05,Zing,BXH NHẠC MỚI,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",34,,,,2026-08-14T03:58:14.699229+00:00
17,2026-01-05,Zing,BXH NHẠC MỚI,Anh Này Là Của Tui,"Pinky Vanh, Hoa Vũ",49,,,,2026-08-14T03:58:14.699229+00:00
21,2026-01-05,Zing,BXH NHẠC MỚI,Bạc Liêu Real,Jombie feat. Đông Tây & SinKra & Sakhar & Ama G & Chips,85,,,,2026-08-14T03:58:14.699229+00:00
22,2026-01-05,Zing,BXH NHẠC MỚI,Bạc Liêu Real (MK Remix),Jombie feat. Đông Tây & SinKra & Sakhar & Ama G & Chips,89,,,,2026-08-14T03:58:14.699229+00:00
19,2026-01-05,Zing,BXH NHẠC MỚI,Chồng Tương Lai (TD Remix),"Út Nhị Mino, Hào JK",63,,,,2026-08-14T03:58:14.699229+00:00
18,2026-01-05,Zing,BXH NHẠC MỚI,Cơn Mưa Mùa Đông,"Đan Trường, Cẩm Ly",57,,,,2026-08-14T03:58:14.699229+00:00
20,2026-01-05,Zing,BXH NHẠC MỚI,Thiệp Hồng Sai Tên,Hương Ly,79,,,,2026-08-14T03:58:14.699229+00:00
15,2026-01-05,Zing,BXH NHẠC MỚI,Thương Cũng Lâu Rồi,"Phát Hổ, Tiêu Minh Phụng",26,,,,2026-08-14T03:58:14.699229+00:00
24,2026-01-05,Zing,BXH NHẠC MỚI,Thương Miền Đất Sen Hồng,Tố My,95,,,,2026-08-14T03:58:14.699229+00:00
23,2026-01-05,Zing,BXH NHẠC MỚI,Ánh Trăng Vĩnh Hằng (NVC Remix),Lan Anh,93,,,,2026-08-14T03:58:14.699229+00:00
14,2026-01-05,Zing,BXH NHẠC MỚI,"Ôm Mẹ (Original Soundtrack From ""Thiên Đường Máu"")",Hoài Lâm,25,,,,2026-08-14T03:58:14.699229+00:00
13,2026-01-05,Zing,BXH NHẠC MỚI,Ảnh Lấy Dợ Gòi,Tracy Thảo My,16,,,,2026-08-14T03:58:14.699229+00:00
27,2026-01-05,Spotify,DAILY VIRAL SONGs,Thiệp Hồng Sai Tên,Ca Sĩ Giấu Mặt,18,,,,2026-08-14T03:58:14.699229+00:00
31,2026-01-05,Spotify,Spotify Playlist | Fresh Find Vietnam,Hoàng Hôn Có Em,Vết Xước,66,,,,2026-08-14T03:58:14.699229+00:00
30,2026-01-05,Spotify,Spotify Playlist | Fresh Find Vietnam,Nỗi Nhớ,VINHTRAN,30,,,,2026-08-14T03:58:14.699229+00:00
28,2026-01-05,Spotify,Spotify Playlist | Fresh Find Vietnam,Thương Người Có Người Thương,Po Bae,11,,,,2026-08-14T03:58:14.699229+00:00
29,2026-01-05,Spotify,Spotify Playlist | Fresh Find Vietnam,Ông Già Tuyết,Jackie Njine,24,,,,2026-08-14T03:58:14.699229+00:00
32,2026-01-05,Spotify,Spotify Playlist | Fresh Find Vietnam,Đậu Thần,Dreamwork,70,,,,2026-08-14T03:58:14.699229+00:00
37,2026-01-05,Tiktok,TIKTOK BREAKOUT,Ta Thương Một Người - Ca Ca Cover,Ca Ca & Nguyen Van Chung,4,,,,2026-08-14T03:58:14.699229+00:00
38,2026-01-05,Tiktok,TIKTOK HOT,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",14,,,,2026-08-14T03:58:14.699229+00:00
26,2026-01-05,Spotify,WEEKLY TOP ALBUM Tuần,Chỉ Có Thể Là Anh,TRANG,190,,,,2026-08-14T03:58:14.699229+00:00
25,2026-01-05,Spotify,WEEKLY TOP ALBUM Tuần,Để Leo Một Ngọn Núi,Tùng,70,,,,2026-08-14T03:58:14.699229+00:00
8,2026-01-05,Zing,ZingCharts,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",57,,,,2026-08-14T03:58:14.699229+00:00
2,2026-01-05,Zing,ZingCharts,Anh Thua Anh Ta,Gia Huy Singer,8,,,,2026-08-14T03:58:14.699229+00:00
11,2026-01-05,Zing,ZingCharts,Anh Thua Người Ta Nhiều Lắm,"NB3 Hoài Bảo, CT",84,,,,2026-08-14T03:58:14.699229+00:00
9,2026-01-05,Zing,ZingCharts,Cưới Chính,"Nal, CT",67,,,,2026-08-14T03:58:14.699229+00:00
12,2026-01-05,Zing,ZingCharts,Em Nhắc Anh,"Nana Liu, HTM",94,,,,2026-08-14T03:58:14.699229+00:00
10,2026-01-05,Zing,ZingCharts,Khúc Cua Cuộc Đời,Danh Tuấn Trung,71,,,,2026-08-14T03:58:14.699229+00:00
7,2026-01-05,Zing,ZingCharts,Muốn Cua Anh Làm Bồ,"Dương Ái Vy, HTM",38,,,,2026-08-14T03:58:14.699229+00:00
3,2026-01-05,Zing,ZingCharts,Nỗi Đau Giữa Hoà Bình,"Hoà Minzy, Nguyễn Văn Chung",24,,,,2026-08-14T03:58:14.699229+00:00
5,2026-01-05,Zing,ZingCharts,"Sợi Chỉ Hồng (Original Soundtrack From ""Cưới Vợ Cho Cha"")","Hana Cẩm Tiên, DanhKa",34,,,,2026-08-14T03:58:14.699229+00:00
1,2026-01-05,Zing,ZingCharts,Thiệp Hồng Sai Tên,Nguyễn Thành Đạt,1,,,,2026-08-14T03:58:14.699229+00:00
4,2026-01-05,Zing,ZingCharts,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",32,,,,2026-08-14T03:58:14.699229+00:00
6,2026-01-05,Zing,ZingCharts,Ảnh Lấy Dợ Gòi,Tracy Thảo My,37,,,,2026-08-14T03:58:14.699229+00:00
67,2026-01-06,Apple,Apple Playlist | Vietnam Ơi,CHUỒN CHUỒN (bay thấp),Tùng,56,,,,2026-08-14T03:58:14.699229+00:00
